Ranking,Freq.,Characters,Syllable,Words(Explanation) / Remarks
14,67837,上,soeng5,"上山, 上書, 上課, 上聲, 送上, 迎頭趕上"
14,67837,上,soeng6,"上午, 上司, 上旬, 上蒼, 上聯, 上層, 上款, 上下其手, 上行下效, 上層建築, 後來居上"
15,65256,個,go3,"個人, 個案, 個性, 個體, 個別, 個例, 個子, 個中滋味"
16,64283,國,gwok3,"國家, 國貨, 國際, 國術, 國文, 國王, 國父, 國手, 國會, 國策, 國產, 國籍, 國語, 祖國, 盟國, 叛國, 愛國, 國計民生"
17,61492,我,ngo5,"我們, 我國, 我方, 我行我素, 我等, 我倆, 自我, 無我, 真我, 依然故我, 爾詐我虞, 我醉欲眠"
18,60842,以,ji5,"以往, 所以, 以逸待勞, 以為, 以免, 以牙還牙, 以身作則, 以身試法, 以訛傳訛, 以德報怨, 以偏概全, 以毒攻毒, 以貌取人, 以暴易暴"
19,57362,要,jiu1,"要求, 要約, 要挾, 要盟, 要譽, 高要縣"
19,57362,要,jiu2,要褭
19,57362,要,jiu3,"要人, 要津, 要素, 要害, 要塞, 要衝, 重要, 概要"
20,56325,地,dei6,"地區, 天地, 地動山搖, 地方, 地位, 地理, 地域, 地窖, 本地, 地大物博, 地廣人稀, 不敗之地, 不留餘地"
20,56325,地,deng6,「地dei6」的異讀字
21,55710,他,taa1,"他日, 他鄉, 其他"
21,55710,他,to1,「他taa1」的異讀字
22,55419,時,si4,"時間, 時代, 時機, 時刻, 時常, 時光, 時空, 時速, 時勢, 時裝, 時事, 時尚, 不合時宜, 風靡一時, 廢時失事"
23,53984,來,lai4,「來loi4」的異讀字
23,53984,來,loi4,"來往, 來世, 來歷, 來龍去脈, 未來"
23,53984,來,loi6,勞來
24,53349,用,jung6,"用地, 用戶, 用品, 用途, 用心, 用意, 用具, 用力, 作用, 動用, 體用, 費用, 用心良苦, 用膳, 通用, 聘用"
25,51653,們,mun4,你們
26,50590,生,saang1,"生平, 生存, 生肖, 生物, 生活, 生計, 生前, 生息, 生動, 生殖, 生產, 生態, 生趣, 生機, 生不逢時, 生老病死, 生死之交, 生死攸關, 生離死別"
26,50590,生,sang1,「生saang1」的異讀字
27,50519,到,dou3,"到底, 到場, 到處, 到達, 到期, 到來, 到任, 碰到, 到家, 料到, 報到, 獨到之見"
28,46623,作,zok3,"作品, 作文, 作用, 作風, 作家, 作者, 作證, 作息, 作坊, 作客, 作弊, 作怪, 作樂, 作古, 作廢, 作弄, 作奸犯科, 合作, 工作, 耕作"
29,43766,出,ceot1,"出現, 進出, 出生入死, 出色, 出口, 出席, 出售, 出版, 出租, 出缺, 出身, 出類拔萃, 出爾反爾, 出乎意料, 出雙入對, 付出, 不世出, 別出機杼"
30,43623,就,zau6,"就業, 就職, 就近, 就寢, 就事論事, 就範, 就地取材, 成就, 就教, 避重就輕, 半推半就"
31,43498,分,fan1,"分寸, 分心, 分功, 分手, 分化, 分別, 分身, 分析, 分歧, 分明, 分居, 分封, 分紅, 分配, 分娩, 分野, 分裂, 分解, 分號, 分贓, 分庭抗體, 分崩離析, 分道揚鑣, 積分"
31,43498,分,fan6,"分外, 分量, 名分, 成分, 身分, 過分"
32,42647,於,wu1,於菟
32,42647,於,jyu1,"於是, 由於, 聲聞於今"
32,42647,於,jyu4,姓氏
33,42008,對,deoi3,"對錯, 面對, 對症下藥, 對講機, 對簿公堂, 對象, 對抗, 對策, 對立, 對手, 對話, 對峙, 對付, 對比, 對質, 對照, 對聯, 對調, 對白, 對稱, 對流, 對角, 對偶, 對牛彈琴"
34,41881,成,seng4,「成sing4」的異讀字
34,41881,成,cing4,成數
34,41881,成,sing4,"成分, 成本, 成功, 成因, 成年, 成全, 成色, 成見, 成長, 成果, 成家, 成效, 成員, 成敗, 成就, 成語, 成熟, 成績, 成藥, 成人之美, 成竹在胸"
35,41861,會,kui2,會計
35,41861,會,kui3,「會kui2」的異讀字
35,41861,會,wui3,「會wui5」的異讀字
35,41861,會,wui5,懂得
35,41861,會,wui6,"會考, 會社, 會面, 會客, 會診, 會意, 會盟, 會聚, 會戰, 會館, 機會, 體會"
36,40754,可,hak1,可汗
36,40754,可,ho2,"可取, 兩可, 可以, 許可, 可是, 非同小可, 不可枚舉, 不可名狀, 可靠, 可悲, 可歌可泣, 不置可否"
37,38619,主,zyu2,"主要, 主持, 主力, 主張, 主動, 主權, 主辦, 主題, 主角, 主旨, 主帥, 民主, 反客為主, 地主"
38,38502,發,faat3,"發生, 發言, 啟發, 暴發, 頒發, 發達, 發展, 發酵, 發憤圖強, 發悶, 發凡舉例, 併發, 批發, 百發百中"
38,38502,發,fat3,「發faat3」的異讀字
38,38502,發,but3,形容魚躍的聲音
38,38502,發,but6,「發but3」的異讀字
39,38389,年,nin4,"年度, 年輕, 年代, 年級, 年齡, 拜年, 青年, 年關, 年華, 年幼無知, 年邁, 年鑑, 比年, 百年樹人, 少年"
40,38247,動,dung6,"動靜, 運動, 明豔動人, 動物, 動作, 動機, 動向, 動心, 動怒, 動盪, 動亂, 動畫, 發動, 浮動, 波動, 暴動, 盲動, 變動不居, 風吹草動, 不動聲色, 大動干戈"
41,38226,同,tung4,"同意, 同學, 同樣, 同胞, 同人, 同類, 同心協力, 同儕, 同仇敵愾, 同病相憐, 陪同, 大同"
42,37987,工,gung1,"工作, 工程, 工廠, 工具, 工人, 工夫"
43,37737,也,jaa5,"也許, 也罷, 空空如也"
44,36979,能,nang4,"能力, 可能, 能歌擅舞, 能夠, 能源, 才能, 本能, 功能, 能屈能伸, 能者多勞"
44,36979,能,noi6,同「耐」字
44,36979,能,toi4,三能(星名)
45,36591,下,haa5,指動作的次數，如「打一下」
45,36591,下,haa6,"下人, 下手, 下午, 下方, 下水, 下世, 下旬, 下乘, 下海, 下堂, 下策, 下款, 下落, 下馬威, 下里巴人"
46,36103,過,gwo1,「過gwo3」的異讀字
46,36103,過,gwo3,"過往, 過眼雲煙, 過猶不及, 過年, 過門, 過客, 過渡, 過程, 過身, 過繼, 過度, 過火, 過分, 過失, 過敏, 過剩, 過獎, 過謙, 過目不忘, 過甚其詞"
47,36040,子,ci4,子諒(同慈良，見《禮記•樂記/祭義》)
47,36040,子,zi2,"子夜, 兒子, 子虛烏有, 子女, 子弟, 脖子, 王子, 娘子, 跛子, 一輩子, 擺架子, 諸子百家, 百子千孫, 浪子回頭"
48,35855,說,seoi3,"說服, 遊說, 說客"
48,35855,說,jyut6,同「悅」字
48,35855,說,syut3,"說明, 說笑, 說話, 說教, 說謊, 小說, 傳說"
49,35614,產,caan2,"產品, 產生, 生產, 破產, 財產, 特產"
50,35049,種,zung2,"種姓, 種類, 種子選手, 種族主義, 人種, 火種, 變種"
50,35049,種,zung3,"種植, 種牛痘, 耕種, 種因, 芒種(二十四節氣之一)"
51,34915,行,haang4,「行haang4」的異讀字
51,34915,行,hang4,"行動, 實行, 行走, 步行"
51,34915,行,hang6,"品行, 道行, 暴行, 操行"
51,34915,行,hong4,"行列, 銀行, 行業, 改行"
51,34915,行,hong6,行行(剛健的樣子)
52,33754,而,nang4,通「能」字
52,33754,而,ji4,"而且, 然而, 不寒而慄, 破繭而出, 盤膝而坐, 不勞而獲, 半途而廢, 不謀而合, 不告而別, 不歡而散, 不教而誅, 不脛而走, 不翼而飛"
53,33578,方,fong1,"方正, 地方, 方興未艾, 方程式, 方向, 方式, 方面, 方案, 方法, 方便, 方針, 方才, 方位, 方圓, 方丈, 方塊, 方士, 方言, 方格, 方寸, 方略, 方陣, 方外"
54,33337,面,min6,"面對, 面臨, 面積, 面前, 面子, 面貌, 面額, 面向, 面具, 面孔, 面值, 面試, 面色, 面紅耳赤, 面皮, 面無人色"
55,33102,後,hau6,"後來, 後悔, 後勁, 後代, 後世, 後進, 後備, 後起之秀, 後悔莫及, 後埔, 後裔, 後繼無力, 後患無窮, 後生可畏"
56,33033,多,do1,"多數, 多少, 多久, 多麼, 多餘"
57,32368,定,deng6,「定ding6」的異讀字
57,32368,定,ding3,定星
57,32368,定,ding6,"定理, 穩定, 氣定神閒, 定向, 定局, 定神, 定型, 定律, 定義, 定語, 定論, 定額, 定奪, 定購, 安定, 制定, 舉棋不定"
58,31893,學,hok6,"學生, 學校, 學者, 學習, 學歷, 學子, 學業, 學位, 學問, 學理, 學養, 學究, 學員"
59,31810,法,faat3,"法律, 法院, 法案, 法官, 法庭, 法網, 法術"
59,31810,法,fat3,「法faat3」的異讀字
60,31158,所,so2,"所有, 場所, 所向披靡, 所以, 所謂, 所在, 所得, 所幸, 所長, 所及, 診所, 所得稅, 所在地, 所作所為, 所見所聞, 各有所好, 眾望所歸, 心有所屬"
61,30971,民,man4,"民眾, 民間, 民主, 民意, 民族, 民生, 民權, 民生"
62,30715,得,dak1,"得失, 得心應手, 得隴望蜀, 得罪, 得不償失, 得勝, 得天獨厚, 得力, 得道, 得體, 得過且過, 得寸進尺, 得意忘形, 得志, 得勢"
63,30014,經,ging1,"經驗, 經緯, 經年累月, 經脈, 經常, 經典, 經綸, 經濟, 經營, 經紀, 經世致用, 經久耐用, 月經, 聖經"
64,29917,十,sap6,"十足, 十萬火急, 十全十美, 十惡不赦, 十面埋伏"
65,29373,三,saam1,"三才, 三代, 三皇, 三字經, 三家村, 三令五申, 三長兩短, 三茶六禮, 三從四德, 三教九流, 三綱五常, 三墳五典, 三顧草廬, 舉一反三"
65,29373,三,saam3,"三思, 三復, 三思後行"
66,29331,之,zi1,"之乎者也, 之子于歸, 珍而重之, 之後, 之間, 之外, 之前, 之下, 之際, 之中, 之餘, 之內, 之時, 之初, 之類, 之於, 之交, 之至, 之流, 之左, 多事之秋多用途虛詞，可作介詞、連詞、代詞。作為實詞中的動詞用時，主要解「往」"
67,29317,進,zeon3,"進退, 前進, 進軍, 進步, 進化"
68,29061,等,dang2,"等待, 等候, 平等, 等級, 等閒視之, 等量齊觀"
69,28458,部,bou6,"部分, 部份, 部門, 部隊, 部長, 部會, 部署, 部將, 部落, 部位, 部屬, 部下, 部從, 部族, 部首, 部員, 部隊長, 部品"
70,28420,度,dok6,"量度, 度長絜大, 度德量力, 忖度, 揣度, 測度, 以己度人"
70,28420,度,dou6,"度量, 度量衡, 度外, 度假, 度越, 度日如年, 大度, 風度, 程度, 溫度"
71,27961,家,gaa1,"家長, 家庭, 家族"
71,27961,家,ze1,語助詞，放於詞尾
71,27961,家,gu1,通「姑」字
72,27905,電,din6,"電話, 電腦, 電影, 電視, 電台, 電器, 電訊"
73,27465,力,lik6,"力量, 努力, 力爭上游, 力求, 力爭, 力行, 力勸, 力不從心, 力氣, 力士, 力學, 力薦, 力戰, 力排眾議, 力盡"
74,27113,如,jyu4,"如果, 如何, 如此, 如常, 如廁"
75,26774,水,seoi2,"水源, 清水, 水落石出, 水果, 水庫, 水患, 水流, 水塔, 水鄉, 水池, 水草, 水泥, 水電, 水餃, 水準, 水晶, 水彩, 水痘, 水族館, 水龍頭, 水墨畫, 水漲船高, 水洩不通, 水到渠成"
76,26767,化,faa1,同「花」字
76,26767,化,faa3,"化學, 教化, 化險為夷, 化石, 化緣, 腐化, 變化, 分化, 焚化爐, 化妝品, 白熱化, 化敵為友, 化為烏有, 逢凶化吉"
77,26021,高,gou1,"高峰, 高興, 高潮, 高雅, 登高"
78,25933,都,dou1,"都市, 都會, 都城, 都督, 名都"
79,25853,自,zi6,"自己, 自然, 毛遂自薦, 自由, 自動, 自覺, 悲不自勝, 閉關自守, 不打自招, 不能自拔, 不怒自威, 不攻自破, 不自量力, 反躬自省, 撫心自問, 談笑自若, 喃喃自語"
80,25850,二,ji6,"二胡, 接二連三, 獨一無二, 二重奏, 不二價, 店小二, 略知一二, 不二法門"
81,25814,理,lei5,"理由, 理想, 理事, 理念, 理論, 理性, 理解, 理會, 理財, 理髮廳, 理髮, 理智, 理所當然, 理直氣壯, 理虧, 理屈"
82,25550,起,hei2,"起伏, 突起, 起死回生, 起點, 起因, 起源, 起步, 起訴, 起碼, 起床, 起色, 起義, 起眼, 勃起, 發起, 了不起, 對不起, 翩翩起舞, 平起平坐, 奮起直追, 風起雲湧, 烽煙四起, 兔起鶻落, 連根拔起, 另起爐灶"
83,25324,小,siu2,"小孩, 小姐, 小心, 小說, 小孩子, 小麥, 小偷, 小販"
84,24967,長,coeng4,"長生, 長舌, 長夜, 長河, 長途, 長眠, 長短, 長處, 長治久安, 長風破浪, 長袖善舞, 長歌當哭, 長繩繫日"
84,24967,長,zoeng2,"長老, 長者, 長雄, 生長, 成長, 部長"
84,24967,長,zoeng6,身無長物
85,24803,物,mat6,"物價, 物品, 物質, 物資, 物美價廉, 物盡其用, 物競天擇, 物極必反, 物換星移, 物以類聚"
86,24651,現,jin6,"現場, 現在, 現象, 現代, 現實, 現況, 現狀, 現成, 現身說法, 現形"
87,24404,實,sat6,"實踐, 實施, 實際, 實心任事, 實現, 實業, 實習, 實惠, 實物, 實效, 實證, 實幹, 實驗室, 貨真價實, 實錄, 實業家, 現實, 果實, 實至名歸, 荷槍實彈, 華而不實, 實事求是, 虛實, "
88,24302,加,gaa1,"加油, 加重, 加倍, 加強, 加冕, 加劇"
88,24302,加,gaa3,「加gaa1」的異讀字
89,24288,量,loeng4,"量杯, 量具, 量度, 丈量, 估量, 思量, 測量, 車載斗量"
89,24288,量,loeng6,"量詞, 量入為出, 量才稱職, 量腹而食, 酒量, 流量, 數量, 膽量, 度量衡"
90,23980,兩,loeng2,「兩loeng5」的異讀字，只用於「斤兩」一詞
90,23980,兩,loeng5,"兩邊, 兩岸, 斤兩"
90,23980,兩,loeng6,同「輛」字
91,23974,體,tai2,"體格, 身體, 體貼入微, 體無完膚, 體育, 體系, 體制, 體會, 體諒, 體驗, 體積, 體罰, 體察, 體溫, 體面, 體魄, 體統, 體裁"
92,23742,機,gei1,"機心, 飛機, 機不可失, 機構, 機關, 機會, 機械, 機智, 機率, 機密, 機要, 機警, 先機, 動機, 機緣, 機靈, 機遇"
93,23389,還,waan4,"還擊, 歸還, 討價還價, 還鄉, 還俗, 還陽, 退還, 清還, 還原反應, 返老還童, 買櫝還珠, 借屍還魂, 欠債還錢"
93,23389,還,syun4,通「旋」字
94,23328,當,dong1,"當代, 相當, 當仁不讓, 當然, 當前, 當地, 當局, 當值, 當政, 當道, 當權, 擔當, 應當, 正當(指示時間), 當時得令, 當之無愧, 當務之急, 當機立斷, 門當戶對, 當頭棒喝"
94,23328,當,dong3,"當票, 適當, 大而無當, 當作, 恰當, 得當, 正當, 用詞不當, 非法勾當, 典當, 便當"
95,22997,使,sai2,「使si2」的異讀字
95,22997,使,si2,"使女, 使用, 使性, 使氣, 支使"
95,22997,使,si3,"使者, 使命, 使館, 使節, 大使, 出使"
96,22902,點,dim2,"點滴, 斑點, 畫龍點睛, 點心, 點頭, 點名, 點燃, 點綴, 點收, 點歌, 點化, 點穴, 檢點, 起點, 提點, 點石成金"
97,22644,從,cung1,「從sung1」的異讀字，用於「從容」一詞
97,22644,從,cung4,"從事, 從軍, 從速, 從屬, 從一而終, 從中作梗, 從令如流, 從長計議, 從善如流, 跟從, 隨從"
97,22644,從,sung1,"從容, 從然, 從頌"
97,22644,從,zung1,(1)同「縱」字 (2)同「蹤」字
97,22644,從,zung3,「從zung1」的異讀字，用於「從橫」一詞
97,22644,從,zung6,"從兄弟(即堂兄弟), 從三品(古官位)"
98,22580,業,jip6,"業務, 事業, 雄圖霸業, 業餘, 業主, 業績, 業已, 業師, 業障, 業報, 業務員, 營業部, 學業, 農業, 專業, 職業, 不務正業, 兢兢業業"
99,22444,本,bun2,"本人, 本來, 本土, 本地, 本錢, 本份, 本分"
100,22312,重,cung4,"重申, 重言, 重沓, 重唱, 重婚, 重圍, 重陽, 重演, 重複, 重見天日, 重修舊好, 重操舊業, 重整旗鼓, 重蹈覆轍"
100,22312,重,cung5,"重負, 重量, 重創, 重傷, 重載, 重擔, 重讀, 重工業, 重金屬, 重頭戲, 輕重"
100,22312,重,zung6,"重心, 重點, 重用, 重臣, 重要, 重鎮, 重聽, 慎重, 穩重, 嚴重"
101,22195,去,heoi2,(1)除掉 (2)放棄
101,22195,去,heoi3,"去向, 去留, 去處, 去路, 去住兩難, 失去, 離去, 逝去"
102,22167,把,baa2,"把握, 把柄, 把戲, 把手"
102,22167,把,baa3,「把baa2」的異讀字
103,22038,性,sing3,"性質, 性格, 性情, 性命"
104,22037,好,hou2,"好歹, 好手, 好看, 美好, 好感, 好壞, 好肉剜瘡, 好事多磨"
104,22037,好,hou3,"好奇, 好惡, 好色, 好尚, 愛好, 好大喜功, 好行小慧, 好勇鬥狠, 好高騖遠, 好為人師, 君子好逑"
105,21837,應,jing1,"應分, 應該, 應然, 應有盡有, 理應"
105,21837,應,jing3,"應付, 應用, 應對, 應卯, 應承, 應景, 應酬, 應徵, 應變, 應驗, 應付自如, 應接不暇, 應運而生, 回應, 答應, 適應, 感應"
106,21588,開,hoi1,"開始, 開心, 避開, 開設, 開朗, 開會"
107,21467,它,taa1,代詞
107,21467,它,to1,「它taa1」的異讀字
108,21425,合,gap3,容量單位
108,21425,合,hap6,"合十, 合力, 合成, 合同, 合作, 合宜, 合金, 合度, 合流, 合圍, 合適, 合志同方, 合浦還珠, 合縱連橫, 符合"
109,21334,因,jan1,"因為, 因素, 因應, 因果, 因緣, 因由, 因材施教, 因循, 因噎廢食, 因勢利導, 因地制宜, 因襲, 因循苟且, 因時制宜"
110,21295,制,zai3,"制度, 制定, 制裁, 制止, 制式, 制服, 制訂, 制憲, 制伏, 制衡, 制約, 制動"
111,21176,由,jau4,"自由, 由於, 由此, 由來"
112,21091,其,gei1,"夜如何其, 酈食其"
112,21091,其,gei6,語助詞
112,21091,其,kei4,"其次, 其他, 其實, 其餘, 其勢洶洶, 其貌不揚, 其應若響"
113,20931,些,sai3,「些so3」的異讀字
113,20931,些,se1,"些許, 些微"
113,20931,些,so1,「些so3」的異讀字
113,20931,些,so3,語氣詞
114,20905,然,jin4,"然而, 當然, 道法自然, 然後, 忽然, 勃然大怒, 不以為然, 龐然大物, 毛骨聳然, 茫然若失"
115,20805,前,cin4,"前後, 前輩, 前車之鑑, 前往, 前天, 前途, 前提, 前夕, 前景, 前鋒, 前線, 前瞻, 前例, 前所未有, 前身, 前因後果, 前程, 前衛, 前言, 前嫌, 前功盡棄, 前奏, 前邊, 前塵, 前列腺"
116,20779,外,ngoi6,"外國, 外出, 門外, 國外"
117,20743,天,tin1,"天下, 天才, 天空, 天地, 天倫, 天壤之別, 天經地義"
118,20507,政,zing3,"政府, 政治, 政策, 政黨, 政權, 政局"
119,20420,四,sei3,"四方, 四海, 四時, 四聲, 四不像, 四大皆空, 四面楚歌, 四書五經, 四通八達"
119,20420,四,si3,「四sei3」的異讀字
120,20404,日,jat6,"日新月異, 日曬雨淋, 日理萬機, 日期, 日報, 日夜, 日記, 日曆, 日落, 日薪, 日寇, 日用品, 日光燈, 日常生活, 日以繼夜, 日出而作, 日久生情"
120,20404,日,mik6,「日jat6」的異讀字
121,20332,那,naa5,"那麼, 那些, 那個"
121,20332,那,naa6,語助詞
121,20332,那,no1,姓氏
121,20332,那,no4,"剎那, 有那其居, 受弱不那"
121,20332,那,no5,「那naa5」的異讀字
121,20332,那,no6,無那
122,20293,社,se5,"社會, 社區, 社團, 社工, 社論, 社長, 社交, 社稷"
122,20293,社,se6,「社se5」的異讀字
123,20250,義,ji6,"義理, 義務, 義氣, 仁義, 名義, 意義"
124,20170,事,si6,"事情, 故事, 事物, 事態, 事故, 事實, 事業, 事件, 事倍功半, 事與願違, 事過境遷, 事必躬親"
125,20070,平,peng4,「平ping4」的異讀字，口語讀音
125,20070,平,ping4,"平常, 平等, 平輩, 平靜, 平息, 平定, 平易近人, 和平"
126,20035,形,jing4,"形成, 情形, 形式, 形容, 形勢, 形狀, 形單影隻"
127,19837,相,soeng1,"相干, 相左, 相安, 相好, 相宜, 相知, 相思, 相託, 相差, 相容, 相處, 相符, 相逢, 相當, 相對, 相稱, 相撲, 相應, 相識, 相關, 相反相成, 相去無幾, 相形見絀, 相依為命, 相得益彰, 相敬如賓, 相濡以沫"
127,19837,相,soeng3,"相士, 相公, 相片, 相國, 相貌, 相親, 相夫教子, 相機行事, 丞相, 宰相"
128,19790,全,cyun4,"全面, 全力, 全體, 全盤, 全力以赴, 全軍覆沒, 全神貫注, 全心全意, 兩全其美, 顧全大局"
129,19731,��,lei5,「��leoi5」的異讀字
129,19731,��,leoi5,"表��, �媕野~合"
130,19627,間,gaan1,"空間, 中間, 民間藝術, 晚間, 時間, 間不容髮, 天上人間"
130,19627,間,gaan3,"間接, 間斷, 挑撥離間, 間隙, 間格, 間諜, 間歇, 反間, 合作無間"
130,19627,間,haan4,同「閒」字
131,19551,樣,joeng6,"樣子, 樣本, 樣貌, 樣式, 樣板, 模樣, 榜樣"
132,19444,表,biu2,"表面, 儀表, 表�堣ㄓ@, 代表, 外表, 表示, 表決, 表格, 華表, 表兄弟, 表皮, 表率, 表達, 彰表, 表象, 表相"
133,19433,與,jyu4,同「歟」字
133,19433,與,jyu5,"與其, 施與, 與日俱增, 與人方便, 與世無爭, 與虎謀皮, 與別不同"
133,19433,與,jyu6,"與聞, 參與, 與會"
134,19202,關,gwaan1,"關係, 關切, 關心, 關鍵, 關注, 關閉, 關鍵, 關節, 關照, 機關"
135,19188,各,gok3,"各界, 各自, 各人"
136,19114,新,san1,"新舊, 創新, 新陳代謝, 新聞, 新鮮, 新年, 新春, 新娘, 新秀, 新婚, 新近, 新奇, 新手, 新潮, 貪新忘舊, 舊雨新知, 推陳出新, 耳目一新"
137,19039,線,sin3,"線索, 線條, 防線, 底線"
138,18629,內,naap6,同「納」字
138,18629,內,noi6,"內容, 內疚, 內憂外患, 內外, 內閣, 內政, 內情, 內涵, 內向, 內陸, 內戰, 內亂, 內科, 內衣, 內閣制, 內人, 內鬨"
139,18339,數,sok3,"頻數, 數見不鮮"
139,18339,數,sou2,"數一數二, 數落, 數典忘祖, 不可勝數, 數說, 數九寒天, 數不勝數, 數白論黃, 數米而炊, 數米量柴, 數往知來"
139,18339,數,sou3,"數目, 總數, 數學, 數字, 數列, 數據, 數額, 定數, 劫數"
139,18339,數,cuk1,細密
140,18231,正,zeng3,「正zing3」的異讀字，口語用字
140,18231,正,zing1,"正月, 新正"
140,18231,正,zing3,"正方, 正史, 正字, 正式, 正名, 正宗, 正果, 正規, 正常, 正統, 正義, 正當, 正路, 正確, 正比例, 正人君子, 正本清源, 正言厲色, 正襟危坐"
141,18187,心,sam1,"心理, 心態, 心情, 心靈, 心聲, 心臟, 心得, 心願, 心血, 心意, 心境, 心虛, 心機, 機心, 心存僥倖, 心有餘悸, 心灰意冷"
142,17989,反,faan1,"反切, 平反"
142,17989,反,faan2,"反目, 反光, 反串, 反坐, 反派, 反省, 反映, 反叛, 反思, 反差, 反常, 反話, 反駁, 反撲, 反應, 反擊, 反脣相譏, 反樸歸真, 反對, 相反, 造反"
142,17989,反,faan3,反反(慎重)
143,17828,你,nei5,"你們, 你死我活, 你推我讓, 你爭我奪, 你來我往"
144,17766,明,ming4,"明顯, 明確, 明天, 明白, 明星, 明知, 明朗, 明智, 明亮, 明珠, 明志, 明言, 明度, 明察秋毫, 明鑑, 明鏡高懸, 明艷照人"
145,17592,看,hon1,"看守, 看更, 看管, 看護"
145,17592,看,hon3,"看見, 看法, 看穿, 看破, 看淡, 看透, 看人眉眼, 看朱成碧, 看風使舵, 觀看, 另眼相看"
146,17518,原,jyun4,"原因, 原則, 原本, 原料, 原地, 原始"
146,17518,原,jyun5,鄉原
147,17476,又,jau6,"又驚又喜, 日新又新, 欲言又止, 又讀, 又及"
148,17457,麼,maa1,「麼mo1」的異讀字
148,17457,麼,mo1,"那麼, 甚麼, 這麼"
148,17457,麼,mo5,「麼mo1」的異讀字
149,17227,利,lei6,"利用, 利率, 利益, 利潤, 利息, 利器, 利害, 利己利人, 福利, 便利"
150,17210,比,bei2,"比丘, 比方, 比例, 比附, 比較, 比照, 比試, 比喻, 比價"
150,17210,比,bei3,「比bei6」的異讀字
150,17210,比,bei6,"朋比, 比鄰"
150,17210,比,pei4,皋比
151,17124,或,waak6,"或是, 或許, 或者, 或然率"
152,17042,但,daan6,"不但, 但是, 但願"
153,17018,質,zat1,"質料, 物質, 蕙質蘭心, 質量, 質問, 質樸, 本質, 性質, 變質, 弱質纖纖, 天生麗質, 當面對質"
153,17018,質,zi3,"人質, 交質"
154,16723,氣,hei3,"氣候, 志氣, 氣勢磅礡, 氣氛, 氣息, 氣憤, 氣溫, 氣體, 氣質, 氣功, 氣味, 氣派, 氣槍, 氣球, 骨氣, 脾氣, 名氣, 霉氣, 煤氣, 排氣, 屏氣凝神, 平心靜氣, 氣急敗壞, 頤指氣使"
155,16595,第,dai6,"品第, 等第, 第一"
156,16590,向,hoeng3,"方向, 志向, 向來, 向前"
157,16573,道,dou3,「道dou6」的異讀字
157,16573,道,dou6,"道路, 道理, 道貌岸然, 道聽途說, 道謝, 道歉, 道家, 道教, 道觀, 道士, 道具, 道德, 道義"
158,16381,命,meng6,「命ming6」的異讀字，口語讀音
158,16381,命,ming6,"命運, 生命, 命不該絕, 命名, 命定, 性命, 算命, 活命, 救命正讀"
159,16270,此,ci2,"此外, 此後, 因此, 此起彼落"
160,16236,沒,mei6,「沒mut6」的異讀字
160,16236,沒,mut6,"沒收, 沒落, 沒用, 沒頭沒腦, 沒精打采, 沒沒無聞"
161,16231,變,bin3,"變化, 演變, 變更"
