Ranking,Freq.,Characters,Code
94,23328,當,%B7%ED
95,22997,使,%A8%CF
96,22902,點,%C2I
97,22644,從,%B1q
98,22580,業,%B7%7E
99,22444,本,%A5%BB
100,22312,重,%AD%AB
101,22195,去,%A5h
102,22167,把,%A7%E2
103,22038,性,%A9%CA
104,22037,好,%A6n
105,21837,應,%C0%B3
106,21588,開,%B6%7D
107,21467,它,%A5%A6
108,21425,合,%A6X
109,21334,因,%A6%5D
110,21295,制,%A8%EE
111,21176,由,%A5%D1
112,21091,其,%A8%E4
113,20931,些,%A8%C7
114,20905,然,%B5M
115,20805,前,%ABe
116,20779,外,%A5%7E
117,20743,天,%A4%D1
118,20507,政,%ACF
119,20420,四,%A5%7C
120,20404,日,%A4%E9
121,20332,那,%A8%BA
122,20293,社,%AA%C0
123,20250,義,%B8q
124,20170,事,%A8%C6
125,20070,平,%A5%AD
126,20035,形,%A7%CE
127,19837,相,%AC%DB
128,19790,全,%A5%FE
129,19731,裏,%F9%D8
130,19627,間,%B6%A1
131,19551,樣,%BC%CB
132,19444,表,%AA%ED
133,19433,與,%BBP
134,19202,關,%C3%F6
135,19188,各,%A6U
136,19114,新,%B7s
137,19039,線,%BDu
138,18629,內,%A4%BA
139,18339,數,%BC%C6
140,18231,正,%A5%BF
141,18187,心,%A4%DF
142,17989,反,%A4%CF
143,17828,你,%A7A
144,17766,明,%A9%FA
145,17592,看,%AC%DD
146,17518,原,%AD%EC
147,17476,又,%A4S
148,17457,麼,%BB%F2
149,17227,利,%A7Q
150,17210,比,%A4%F1
151,17124,或,%A9%CE
152,17042,但,%A6%FD
153,17018,質,%BD%E8
154,16723,氣,%AE%F0
155,16595,第,%B2%C4
156,16590,向,%A6V
157,16573,道,%B9D
158,16381,命,%A9R
159,16270,此,%A6%B9
160,16236,沒,%A8S
161,16231,變,%C5%DC
162,15931,條,%B1%F8
163,15812,只,%A5u
164,15708,結,%B5%B2
165,15660,解,%B8%D1
166,15535,問,%B0%DD
167,15534,意,%B7N
168,15418,建,%AB%D8
169,15345,月,%A4%EB
170,15339,公,%A4%BD
171,15279,無,%B5L
172,15119,軍,%ADx
173,15095,很,%AB%DC
174,15039,情,%B1%A1
175,14965,者,%AA%CC
176,14712,最,%B3%CC
177,14689,立,%A5%DF
178,14688,代,%A5N
179,14661,想,%B7Q
180,14565,已,%A4w
181,14562,通,%B3q
182,14437,提,%B4%A3
183,14240,直,%AA%BD
184,14110,題,%C3D
185,14095,黨,%C4%D2
186,14070,程,%B5%7B
187,14038,展,%AEi
188,13902,五,%A4%AD
189,13899,果,%AAG
190,13744,料,%AE%C6
191,13709,象,%B6H
192,13617,員,%AD%FB
193,13612,革,%AD%B2
194,13535,位,%A6%EC
195,13449,入,%A4J
196,13407,常,%B1%60
197,13401,文,%A4%E5
198,13328,總,%C1%60
199,13301,次,%A6%B8
200,13263,品,%AB%7E
201,13253,式,%A6%A1
202,13160,活,%AC%A1
203,13075,設,%B3%5D
204,13071,及,%A4%CE
205,13018,管,%BA%DE
206,12997,特,%AFS
207,12992,件,%A5%F3
208,12924,求,%A8D
209,12882,老,%A6%D1
210,12823,頭,%C0Y
211,12619,基,%B0%F2
212,12554,資,%B8%EA
213,12480,邊,%C3%E4
214,12369,流,%ACy
215,12364,路,%B8%F4
216,12311,級,%AF%C5
217,12267,少,%A4%D6
218,12196,圖,%B9%CF
219,12193,山,%A4s
220,12143,統,%B2%CE
221,12115,接,%B1%B5
222,12083,知,%AA%BE
223,12013,較,%B8%FB
224,11972,將,%B1N
225,11963,組,%B2%D5
226,11962,見,%A8%A3
227,11920,計,%ADp
228,11902,別,%A7O
229,11893,她,%A6o
230,11757,手,%A4%E2
231,11737,角,%A8%A4
232,11708,期,%B4%C1
233,11698,根,%AE%DA
234,11693,論,%BD%D7
235,11675,運,%B9B
236,11623,農,%B9A
237,11520,指,%AB%FC
238,11456,幾,%B4X
239,11430,九,%A4E
240,11409,區,%B0%CF
241,11329,強,%B1j
242,11326,放,%A9%F1
243,11323,決,%A8M
244,11322,西,%A6%E8
245,11311,被,%B3Q
246,11181,做,%B0%B5
247,11131,必,%A5%B2
248,11040,戰,%BE%D4
249,10988,先,%A5%FD
250,10885,則,%ABh
251,10797,任,%A5%F4
252,10737,取,%A8%FA
253,10714,據,%BE%DA
254,10688,回,%A6%5E
255,10647,給,%B5%B9
256,10629,調,%BD%D5
257,10611,處,%B3B
258,10590,隊,%B6%A4
259,10543,南,%ABn
260,10477,色,%A6%E2
261,10427,光,%A5%FA
262,10372,門,%AA%F9
263,10355,即,%A7Y
264,10325,保,%ABO
265,10309,治,%AAv
266,10282,北,%A5_
267,10274,造,%B3y
268,10246,百,%A6%CA
269,10109,規,%B3W
270,10075,熱,%BC%F6
271,10071,領,%BB%E2
272,10069,七,%A4C
273,9985,海,%AE%FC
274,9913,口,%A4f
275,9909,東,%AAF
276,9901,導,%BE%C9
277,9863,器,%BE%B9
278,9758,壓,%C0%A3
279,9747,世,%A5%40
280,9728,金,%AA%F7
281,9694,增,%BCW
282,9649,爭,%AA%A7
283,9631,濟,%C0%D9
284,9631,階,%B6%A5
285,9588,油,%AAo
286,9583,思,%AB%E4
287,9567,術,%B3N
288,9554,極,%B7%A5
289,9513,交,%A5%E6
290,9502,受,%A8%FC
291,9456,幹,%B7F
292,9442,聯,%C1p
293,9387,認,%BB%7B
294,9343,六,%A4%BB
295,9287,共,%A6%40
296,9231,權,%C5v
297,9203,收,%A6%AC
298,9142,證,%C3%D2
299,9117,改,%A7%EF
300,9081,清,%B2M
301,9053,志,%A7%D3
302,9051,己,%A4v
303,9051,美,%AC%FC
304,9046,再,%A6A
305,9015,轉,%C2%E0
306,8995,更,%A7%F3
307,8945,單,%B3%E6
308,8908,風,%AD%B7
309,8890,切,%A4%C1
310,8864,打,%A5%B4
311,8855,白,%A5%D5
312,8849,教,%B1%D0
313,8847,速,%B3t
314,8826,花,%AA%E1
315,8756,帶,%B1a
316,8746,安,%A6w
317,8659,場,%B3%F5
318,8622,身,%A8%AD
319,8604,車,%A8%AE
320,8600,例,%A8%D2
321,8590,真,%AFu
322,8583,務,%B0%C8
323,8563,具,%A8%E3
324,8551,萬,%B8U
325,8521,每,%A8C
326,8462,目,%A5%D8
327,8425,至,%A6%DC
328,8424,達,%B9F
329,8419,走,%A8%AB
330,8417,積,%BFn
331,8408,示,%A5%DC
332,8405,議,%C4%B3
333,8398,聲,%C1n
334,8349,報,%B3%F8
335,8347,鬥,%B0%AB
336,8336,完,%A7%B9
337,8294,類,%C3%FE
338,8286,八,%A4K
339,8211,離,%C2%F7
340,8116,華,%B5%D8
341,8107,名,%A6W
342,8082,確,%BDT
343,8062,科,%AC%EC
344,8053,傳,%B6%C7
345,8053,張,%B1i
346,8047,才,%A4%7E
347,8037,信,%ABH
348,8025,馬,%B0%A8
349,8005,節,%B8%60
350,7968,話,%B8%DC
351,7939,米,%A6%CC
352,7906,採,%B1%C4
353,7895,整,%BE%E3
354,7886,空,%AA%C5
355,7877,元,%A4%B8
356,7840,況,%AAp
357,7814,今,%A4%B5
358,7774,集,%B6%B0
359,7766,溫,%B7%C5
360,7758,土,%A4g
361,7732,許,%B3%5C
362,7702,步,%A8B
363,7702,群,%B8s
364,7691,石,%A5%DB
365,7673,廣,%BCs
366,7656,且,%A5B
367,7653,記,%B0O
368,7638,需,%BB%DD
369,7631,段,%ACq
370,7621,研,%AC%E3
371,7512,界,%AC%C9
372,7501,拉,%A9%D4
373,7495,林,%AAL
374,7466,律,%AB%DF
375,7431,叫,%A5s
376,7418,究,%A8s
377,7415,觀,%C6%5B
378,7405,越,%B6V
379,7367,織,%C2%B4
380,7355,裝,%B8%CB
381,7348,影,%BCv
382,7324,算,%BA%E2
383,7316,低,%A7C
384,7278,持,%AB%F9
385,7272,音,%AD%B5
386,7250,眾,%B2%B3
387,7224,系,%A8t
388,7181,書,%AE%D1
389,7130,容,%AEe
390,7024,兒,%A8%E0
391,6989,際,%BB%DA
392,6948,商,%B0%D3
393,6917,非,%ABD
394,6915,驗,%C5%E7
395,6896,連,%B3s
396,6894,斷,%C2_
397,6888,率,%B2v
398,6870,深,%B2%60
399,6858,難,%C3%F8
400,6851,近,%AA%F1
401,6807,須,%B6%B7
402,6782,礦,%C4q
403,6761,千,%A4d
404,6710,省,%AC%D9
405,6705,委,%A9e
406,6693,素,%AF%C0
407,6690,技,%A7%DE
408,6682,備,%B3%C6
409,6674,半,%A5b
410,6658,辦,%BF%EC
411,6658,青,%ABC
412,6614,列,%A6C
413,6614,習,%B2%DF
414,6601,便,%ABK
415,6537,響,%C5T
416,6531,約,%AC%F9
417,6507,支,%A4%E4
418,6504,般,%AF%EB
419,6491,史,%A5v
420,6482,感,%B7P
421,6475,勞,%B3%D2
422,6464,團,%B9%CE
423,6460,往,%A9%B9
424,6456,酸,%BB%C4
425,6429,稱,%BA%D9
426,6372,市,%A5%AB
427,6367,克,%A7J
428,6339,何,%A6%F3
429,6317,除,%B0%A3
430,6267,消,%AE%F8
431,6263,構,%BAc
432,6261,府,%A9%B2
433,6255,甚,%AC%C6
434,6228,太,%A4%D3
435,6206,精,%BA%EB
436,6181,歷,%BE%FA
437,6179,值,%AD%C8
438,6154,係,%ABY
439,6152,周,%A9P
440,6099,什,%A4%B0
441,6047,號,%B8%B9
442,5961,族,%B1%DA
443,5959,維,%BA%FB
444,5942,劃,%B9%BA
445,5936,選,%BF%EF
446,5931,標,%BC%D0
447,5928,寫,%BCg
448,5909,存,%A6s
449,5888,候,%AD%D4
450,5868,親,%BF%CB
451,5861,毛,%A4%F2
452,5856,快,%A7%D6
453,5831,查,%ACd
454,5817,效,%AE%C4
455,5813,斯,%B4%B5
456,5808,院,%B0%7C
457,5767,江,%A6%BF
458,5758,型,%AB%AC
459,5752,眼,%B2%B4
460,5750,王,%A4%FD
461,5748,按,%AB%F6
462,5741,格,%AE%E6
463,5688,養,%BEi
464,5678,易,%A9%F6
465,5634,置,%B8m
466,5629,派,%AC%A3
467,5616,層,%BCh
468,5616,片,%A4%F9
469,5599,始,%A9l
470,5594,卻,%ABo
471,5592,專,%B1M
472,5592,狀,%AA%AC
473,5589,育,%A8%7C
474,5582,廠,%BCt
475,5573,京,%A8%CA
476,5572,識,%C3%D1
477,5554,適,%BEA
478,5533,參,%B0%D1
479,5530,屬,%C4%DD
480,5521,圓,%B6%EA
481,5506,包,%A5%5D
482,5506,火,%A4%F5
483,5483,住,%A6%ED
484,5431,滿,%BA%A1
485,5404,縣,%BF%A4
486,5390,局,%A7%BD
487,5387,照,%B7%D3
488,5365,準,%B7%C7
489,5365,紅,%AC%F5
490,5363,輕,%BB%B4
491,5341,引,%A4%DE
492,5341,細,%B2%D3
493,5281,聽,%C5%A5
494,5274,該,%B8%D3
495,5267,鐵,%C5K
496,5256,價,%BB%F9
497,5249,嚴,%C4Y
498,5213,底,%A9%B3
499,5203,首,%AD%BA
500,5171,液,%B2G
501,5166,官,%A9x
502,5159,德,%BCw
503,5154,隨,%C0H
504,5140,病,%AFf
505,5120,失,%A5%A2
506,5119,爾,%BA%B8
507,5106,死,%A6%BA
508,5095,講,%C1%BF
509,5091,呢,%A9O
510,5088,蘇,%C4%AC
511,5084,配,%B0t
512,5064,女,%A4k
513,5057,黃,%B6%C0
514,5054,推,%B1%C0
515,5042,顯,%C5%E3
516,5018,談,%BD%CD
517,5015,罪,%B8o
518,5012,神,%AF%AB
519,4987,藝,%C3%C0
520,4973,席,%AEu
521,4965,含,%A7t
522,4956,企,%A5%F8
523,4938,望,%B1%E6
524,4927,密,%B1K
525,4904,批,%A7%E5
526,4902,營,%C0%E7
527,4901,項,%B6%B5
528,4877,防,%A8%BE
529,4855,舉,%C1%7C
530,4797,球,%B2y
531,4797,英,%AD%5E
532,4769,氧,%AE%F1
533,4763,勢,%B6%D5
534,4752,告,%A7i
535,4744,李,%A7%F5
536,4730,落,%B8%A8
537,4717,布,%A5%AC
538,4716,木,%A4%EC
539,4710,幫,%C0%B0
540,4693,輪,%BD%FC
541,4688,破,%AF%7D
542,4658,亞,%A8%C8
543,4654,朝,%B4%C2
544,4649,師,%AEv
545,4629,圍,%B3%F2
546,4624,遠,%BB%B7
547,4617,字,%A6r
548,4611,材,%A7%F7
549,4606,注,%AA%60
550,4604,排,%B1%C6
551,4600,供,%A8%D1
552,4596,河,%AAe
553,4581,態,%BAA
554,4576,封,%AB%CA
555,4568,另,%A5t
556,4563,復,%B4_
557,4561,施,%ACI
558,4553,減,%B4%EE
559,4552,樹,%BE%F0
560,4551,溶,%B7%BB
561,4550,怎,%AB%E7
562,4550,止,%A4%EE
563,4540,案,%AE%D7
564,4535,台,%A5x
565,4535,言,%A8%A5
566,4531,士,%A4h
567,4508,均,%A7%A1
568,4499,武,%AAZ
569,4492,固,%A9T
570,4477,葉,%B8%AD
571,4475,魚,%B3%BD
572,4467,波,%AAi
573,4464,視,%B5%F8
574,4462,僅,%B6%C8
575,4462,差,%AEt
576,4441,費,%B6O
577,4439,降,%AD%B0
578,4436,緊,%BA%F2
579,4429,愛,%B7R
580,4399,左,%A5%AA
581,4392,章,%B3%B9
582,4390,早,%A6%AD
583,4375,害,%AE%60
584,4366,續,%C4%F2
585,4352,服,%AAA
586,4337,食,%AD%B9
587,4335,試,%B8%D5
588,4325,充,%A5R
589,4307,兵,%A7L
590,4304,源,%B7%BD
591,4300,判,%A7P
592,4274,似,%A6%FC
593,4262,司,%A5q
594,4262,護,%C5%40
595,4237,足,%A8%AC
596,4235,某,%ACY
597,4226,練,%BDm
598,4204,略,%B2%A4
599,4193,田,%A5%D0
600,4158,黑,%B6%C2
601,4155,犯,%A5%C7
602,4148,負,%ADt
603,4116,擊,%C0%BB
604,4079,繼,%C4%7E
605,4065,興,%BF%B3
606,4043,堅,%B0%ED
607,4040,輸,%BF%E9
608,4024,曲,%A6%B1
609,4018,修,%AD%D7
610,4010,故,%ACG
611,3976,城,%AB%B0
612,3972,覺,%C4%B1
613,3953,夫,%A4%D2
614,3943,夠,%B0%F7
615,3938,送,%B0e
616,3931,笑,%AF%BA
617,3920,船,%B2%EE
618,3914,右,%A5k
619,3885,財,%B0%5D
620,3884,吃,%A6Y
621,3882,富,%B4I
622,3878,春,%ACK
623,3851,職,%C2%BE
624,3842,漢,%BA%7E
625,3833,畫,%B5e
626,3831,功,%A5%5C
627,3829,巴,%A4%DA
628,3822,裡,%B8%CC
629,3796,跟,%B8%F2
630,3795,雖,%C1%F6
631,3779,雜,%C2%F8
632,3775,板,%AAO
633,3764,飛,%AD%B8
634,3756,佔,%A6%FB
635,3744,曾,%B4%BF
636,3725,樂,%BC%D6
637,3725,致,%ADP
638,3721,檢,%C0%CB
639,3717,吸,%A7l
640,3717,里,%A8%BD
641,3695,助,%A7U
642,3689,陽,%B6%A7
643,3685,互,%A4%AC
644,3679,初,%AA%EC
645,3676,創,%B3%D0
646,3665,抗,%A7%DC
647,3657,考,%A6%D2
648,3656,投,%A7%EB
649,3653,壞,%C3a
650,3652,策,%B5%A6
651,3647,古,%A5j
652,3640,徑,%AE%7C
653,3635,換,%B4%AB
654,3635,未,%A5%BC
655,3619,跑,%B6%5D
656,3615,留,%AFd
657,3607,鋼,%BF%FB
658,3584,端,%BA%DD
659,3584,責,%B3d
660,3581,站,%AF%B8
661,3570,簡,%C2%B2
662,3564,升,%A4%C9
663,3561,述,%ADz
664,3553,錢,%BF%FA
665,3550,副,%B0%C6
666,3548,盡,%BA%C9
667,3547,帝,%AB%D2
668,3544,射,%AEg
669,3539,草,%AF%F3
670,3530,範,%BDd
671,3527,承,%A9%D3
672,3523,獨,%BFW
673,3521,令,%A5O
674,3518,限,%AD%AD
675,3503,阿,%AA%FC
676,3467,宣,%AB%C5
677,3464,環,%C0%F4
678,3464,雙,%C2%F9
679,3461,請,%BD%D0
680,3406,超,%B6W
681,3391,微,%B7L
682,3382,讓,%C5%FD
683,3373,控,%B1%B1
684,3362,州,%A6%7B
685,3326,良,%A8%7D
686,3268,軸,%B6b
687,3266,找,%A7%E4
688,3259,否,%A7_
689,3255,紀,%AC%F6
690,3247,益,%AFq
691,3242,依,%A8%CC
692,3234,優,%C0u
693,3231,頂,%B3%BB
694,3228,礎,%C2%A6
695,3227,載,%B8%FC
696,3223,倒,%AD%CB
697,3220,房,%A9%D0
698,3220,突,%AC%F0
699,3216,坐,%A7%A4
700,3213,粉,%AF%BB
701,3210,敵,%BC%C4
702,3198,客,%AB%C8
703,3197,袁,%B0K
704,3192,冷,%A7N
705,3178,勝,%B3%D3
706,3176,絕,%B5%B4
707,3173,析,%AAR
708,3167,塊,%B6%F4
709,3166,劑,%BE%AF
710,3164,測,%B4%FA
711,3160,絲,%B5%B7
712,3145,協,%A8%F3
713,3136,訴,%B6D
714,3130,陳,%B3%AF
715,3129,仍,%A4%B4
716,3114,羅,%C3%B9
717,3110,餘,%BEl
718,3092,鹽,%C6Q
719,3088,友,%A4%CD
720,3075,洋,%ACv
721,3067,錯,%BF%F9
722,3062,苦,%ADW
723,3060,夜,%A9%5D
724,3055,刑,%A6D
725,3041,移,%B2%BE
726,3036,模,%BC%D2
727,3035,頻,%C0W
728,3023,念,%A9%C0
729,3020,逐,%B3v
730,3014,靠,%BEa
731,3011,混,%B2V
732,3004,母,%A5%C0
733,2980,短,%B5u
734,2979,皮,%A5%D6
735,2977,終,%B2%D7
736,2964,聚,%BBE
737,2960,汽,%A8T
738,2941,村,%A7%F8
739,2935,哪,%AD%FE
740,2926,既,%ACJ
741,2913,衛,%BD%C3
742,2913,距,%B6Z
743,2912,校,%AE%D5
744,2894,停,%B0%B1
745,2893,烈,%AFP
746,2886,央,%A5%A1
747,2883,察,%B9%EE
748,2882,燒,%BFN
749,2869,迅,%A8%B3
750,2861,境,%B9%D2
751,2860,若,%ADY
752,2853,印,%A6L
753,2850,洲,%ACw
754,2848,刻,%A8%E8
755,2842,括,%ACA
756,2815,激,%BFE
757,2814,孔,%A4%D5
758,2804,搞,%B7d
759,2793,室,%AB%C7
760,2789,待,%AB%DD
761,2787,核,%AE%D6
762,2780,散,%B4%B2
763,2777,侵,%ABI
764,2768,吧,%A7a
765,2763,甲,%A5%D2
766,2747,久,%A4%5B
767,2744,菜,%B5%E6
768,2743,味,%A8%FD
769,2742,舊,%C2%C2
770,2741,湖,%B4%F2
771,2735,貨,%B3f
772,2725,彈,%BCu
773,2724,損,%B7l
774,2723,預,%B9w
775,2711,阻,%AA%FD
776,2701,毫,%B2%40
777,2700,乙,%A4A
778,2700,普,%B4%B6
779,2700,穩,%C3%AD
780,2697,媽,%B6%FD
781,2697,植,%B4%D3
782,2687,息,%AE%A7
783,2683,擴,%C2X
784,2680,銀,%BB%C8
785,2679,語,%BBy
786,2677,揮,%B4%A7
787,2677,酒,%B0s
788,2677,雲,%B6%B3
789,2674,守,%A6u
790,2668,拿,%AE%B3
791,2666,序,%A7%C7
792,2657,紙,%AF%C8
793,2652,醫,%C2%E5
794,2650,熟,%BC%F4
795,2648,缺,%AF%CA
796,2644,雨,%ABB
797,2637,嗎,%B6%DC
798,2636,針,%B0w
799,2631,劉,%BCB
800,2625,啊,%B0%DA
801,2621,急,%AB%E6
802,2615,唱,%B0%DB
803,2607,訓,%B0V
804,2607,誤,%BB%7E
805,2594,願,%C4%40
806,2578,審,%BCf
807,2573,血,%A6%E5
808,2573,附,%AA%FE
809,2571,茶,%AF%F9
810,2571,鮮,%C2A
811,2570,糧,%C2%B3
812,2569,斤,%A4%E7
813,2563,孩,%AB%C4
814,2560,脫,%B2%E6
815,2550,硫,%B2%B8
816,2546,善,%B5%BD
817,2546,肥,%AA%CE
818,2542,演,%BAt
819,2542,龍,%C0s
820,2529,父,%A4%F7
821,2514,漸,%BA%A5
822,2505,歡,%C5w
823,2500,掌,%B4x
824,2500,械,%B1%F1
825,2496,歌,%BAq
826,2494,沙,%A8F
827,2492,獲,%C0%F2
828,2486,著,%B5%DB
829,2480,剛,%AD%E8
830,2479,製,%BBs
831,2474,攻,%A7%F0
832,2472,謂,%BF%D7
833,2471,盾,%AC%DE
834,2471,討,%B0Q
835,2451,晚,%B1%DF
836,2449,佈,%A7G
837,2445,粒,%B2%C9
838,2443,亂,%B6%C3
839,2441,燃,%BFU
840,2426,矛,%A5%D9
841,2419,乎,%A5G
842,2417,殺,%B1%FE
843,2417,複,%BD%C6
844,2407,藥,%C3%C4
845,2404,寧,%B9%E7
846,2392,魯,%BE%7C
847,2388,貴,%B6Q
848,2384,煤,%B7%D1
849,2380,伯,%A7B
850,2378,讀,%C5%AA
851,2375,班,%AFZ
852,2365,句,%A5y
853,2363,香,%AD%BB
854,2360,迫,%AD%A2
855,2359,介,%A4%B6
856,2346,豐,%C2%D7
857,2345,培,%B0%F6
858,2343,握,%B4%A4
859,2340,蘭,%C4%F5
860,2339,弦,%A9%B6
861,2339,擔,%BE%E1
862,2338,蛋,%B3J
863,2331,沉,%A8I
864,2329,假,%B0%B2
865,2328,執,%B0%F5
866,2328,穿,%AC%EF
867,2326,答,%B5%AA
868,2325,誰,%BD%D6
869,2320,順,%B6%B6
870,2314,煙,%B7%CF
871,2310,縮,%C1Y
872,2306,臉,%C1y
873,2305,喜,%B3%DF
874,2283,腳,%B8%7D
875,2278,異,%B2%A7
876,2277,免,%A7K
877,2271,困,%A7x
878,2270,背,%ADI
879,2266,星,%ACP
880,2264,福,%BA%D6
881,2261,買,%B6R
882,2258,染,%ACV
883,2250,井,%A4%AB
884,2247,概,%B7%A7
885,2246,慢,%BAC
886,2243,怕,%A9%C8
887,2243,游,%B4%E5
888,2242,磁,%BA%CF
889,2240,倍,%AD%BF
890,2239,祖,%AF%AA
891,2211,皇,%AC%D3
892,2207,薄,%C1%A1
893,2204,促,%ABP
894,2203,靜,%C0R
895,2202,補,%B8%C9
896,2197,評,%B5%FB
897,2196,鐘,%C4%C1
898,2195,翻,%C2%BD
899,2195,肉,%A6%D7
900,2188,踐,%BD%EE
901,2184,尼,%A5%A7
902,2179,衣,%A6%E7
903,2175,寬,%BCe
904,2175,揚,%B4%AD
905,2173,棉,%B4%D6
906,2171,希,%A7%C6
907,2168,傷,%B6%CB
908,2165,操,%BE%DE
909,2155,藏,%C2%C3
910,2152,垂,%AB%AB
911,2152,宜,%A9y
912,2152,秋,%AC%EE
913,2151,氫,%B2B
914,2149,露,%C5S
915,2146,套,%AEM
916,2136,督,%B7%FE
917,2136,筆,%B5%A7
918,2130,振,%AE%B6
919,2124,亮,%ABG
920,2124,憲,%BE%CB
921,2124,末,%A5%BD
922,2124,架,%AC%5B
923,2121,慶,%BCy
924,2117,綠,%BA%F1
925,2116,編,%BDs
926,2111,牛,%A4%FB
927,2105,映,%ACM
928,2105,觸,%C4%B2
929,2097,銷,%BEP
930,2097,雷,%B9p
931,2093,座,%AEy
932,2093,詩,%B8%D6
933,2091,居,%A9%7E
934,2090,抓,%A7%EC
935,2088,裂,%B5%F5
936,2087,胞,%ADM
937,2078,呼,%A9I
938,2075,娘,%AEQ
939,2074,景,%B4%BA
940,2070,盟,%B7%F9
941,2068,威,%AB%C2
942,2065,晶,%B4%B9
943,2063,厚,%ABp
944,2057,衡,%BF%C5
945,2056,孫,%AE%5D
946,2056,延,%A9%B5
947,2056,雞,%C2%FB
948,2052,危,%A6M
949,2051,膠,%BD%A6
950,2050,屋,%AB%CE
951,2049,鄉,%B6m
952,2044,沖,%A8R
953,2037,臨,%C1%7B
954,2036,陸,%B3%B0
955,2031,顧,%C5U
956,2027,掉,%B1%BC
957,2017,呀,%A7r
958,2004,奇,%A9_
959,2003,燈,%BFO
960,2000,歲,%B7%B3
961,1998,措,%B1%B9
962,1997,束,%A7%F4
963,1994,耐,%AD%40
964,1991,劇,%BC%40
965,1990,玉,%A5%C9
966,1986,趙,%BB%AF
967,1985,跳,%B8%F5
968,1984,哥,%AD%F4
969,1982,季,%A9u
970,1982,課,%BD%D2
971,1981,凱,%B3%CD
972,1978,額,%C3B
973,1978,齊,%BB%F4
974,1974,款,%B4%DA
975,1972,紹,%B2%D0
976,1960,偉,%B0%B6
977,1960,蒸,%BB%5D
978,1949,永,%A5%C3
979,1946,殖,%B4%DE
980,1944,宗,%A9v
981,1943,苗,%AD%5D
982,1941,川,%A4t
983,1940,爐,%C4l
984,1925,弱,%AEz
985,1923,楊,%B7%A8
986,1923,零,%B9s
987,1922,奏,%AB%B5
988,1917,沿,%AAu
989,1914,岩,%A9%A5
990,1911,探,%B1%B4
991,1910,滑,%B7%C6
992,1908,鎮,%C2%ED
993,1896,飯,%B6%BA
994,1893,濃,%BF%40
995,1892,航,%AF%E8
996,1886,懷,%C3h
997,1880,趕,%BB%B0
998,1879,庫,%AEw
999,1876,奪,%B9%DC
1000,1866,伊,%A5%EC
1001,1853,稅,%B5%7C
1002,1853,靈,%C6F
1003,1847,途,%B3%7E
1004,1845,滅,%B7%C0
1005,1845,賽,%C1%C9
1006,1840,召,%A5l
1007,1840,歸,%C2k
1008,1838,鼓,%B9%AA
1009,1837,播,%BC%BD
1010,1834,盤,%BDL
1011,1830,裁,%B5%F4
1012,1828,險,%C0I
1013,1825,康,%B1d
1014,1819,唯,%B0%DF
1015,1816,錄,%BF%FD
1016,1813,菌,%B5%DF
1017,1810,純,%AF%C2
1018,1807,蓋,%BB%5C
1019,1803,橫,%BE%EE
